"ID","SRV_ID","ORD_ID","DRV_ID","AUTO_ID","OPR_REG_ID","OPR_UPD_ID","RGN_ID","DVC_ID","BGN_RLY","END_RLY","TME_UPD","ABS_SEC","NM_ORD","NM_LGT","CALL","NOM","AUTO_CLR","AUTO_MDL","DST","FL_ONLINE","QUEUE","ST","MRK","ENB"
37234,245,473796,13276,21307,0,1824,4,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2,0,1118,"н7**рн11","серебристый","Шевроле - Авео","Юго-восток","1",9,20,2,1,0
37235,249,474738,12887,20928,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,29,0,"синий","Шевроле универс","Центр","2","513312",9,0,1,0,0
37237,256,474640,13398,21427,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,2055,0,"черный","Рено Логан","Юго-запад","2","513225",9,0,1,0,0
37238,246,474618,12840,20881,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,234,0,"серебристый","Ниссан Альмера","Юго-восток","2","513183",9,0,1,0,0
37239,246,0,13198,26981,0,1804,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",7,0,80,"н6**ао11","черный","Опель-Вектра","Юго-запад","2",9,10,0,1,0
37240,243,474630,13983,26901,0,1743,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",6,0,23,"н7**оо11","светло-зеленый","Шевроле Ланос","Юго-запад","2",9,20,0,1,0
37242,256,0,13114,21152,0,1700,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,623,"к8**ка11","синий","ВАЗ 2106","Юго-запад","2",9,10,1,0,0
37243,246,0,13164,21202,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,44,0,"черный","Форд Фокус","Юго-восток","2","513215",9,0,1,0,0
37245,245,0,13305,21336,0,1820,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",5,0,1151,"н7**уу11","серебристый","Хёндай - Соната","Север","2",9,10,0,1,0
37246,245,474685,13329,21359,0,-1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,1179,0,"черный","Лада Приора","0","2","513260",9,0,1,0,0
37248,249,474468,12863,20904,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,2,0,"серебристый","ДЭУ","Центр","2","513036",9,0,1,0,0
37253,249,0,12871,20912,0,1763,4,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",5,0,10,"н7**то11","серебристый","Фольцваген-гольф","Юго-восток","2",9,10,0,1,0
37256,256,0,13401,21430,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,2058,0,"серебристый","Шевроле - Авео","Север","2","512479",9,0,1,0,0
37257,249,0,12923,20964,1767,1763,1,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",3,0,69,"н6**ух11","серебристый","Форд Фокус","Центр","2",9,10,0,1,0
37260,249,0,13012,21050,1767,1763,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",3,0,770,"х7**хх11","серебристый","Сузуки","эжва ","2",9,10,0,1,0
37263,249,0,12963,21001,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,2424,0,"вишневый","Киа-Кларус","Юго-восток","2","512840",9,0,1,0,0
37265,245,474709,13296,21327,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,1139,0,"черный","Рено Логан","Юго-восток","2","513285",9,0,1,0,0
37266,246,474724,13247,21278,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,373,0,"серебристый","Киа - Рио","Юго-запад","2","513297",9,0,1,0,0
37272,249,0,12964,21002,0,1763,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,2491,"н7**ку11","серый","ВАЗ 2112","Юго-запад","2",9,10,0,1,0
37273,249,474556,13014,21052,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,777,0,"синий","Хёндай - Элантр","Север","2","513116",9,0,1,0,0
37274,256,474655,13380,21409,0,1700,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",5,0,2034,"о3**ак11","черный","Рено Логан","Север","2",9,20,0,1,0
37275,243,0,12752,20801,0,1743,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",4,0,28,"н9**ае11","серебристый","ДЭУ","Юго-запад","2",9,10,0,1,0
37278,246,0,14023,26964,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,214,0,"черный","Форд Фокус","Север","2","513082",9,0,1,0,0
37279,243,474636,13498,21526,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,0,0,"сине-зеленый","ВАЗ 21099","Юго-запад","2","513209",9,0,1,0,0
37280,246,0,13149,21187,0,1804,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",3,0,27,"н5**ет11","белый","Шевроле Ланос","Север","2",9,40,0,1,0
37282,243,0,12779,20828,0,1747,1,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",6,0,83,"о7**вм11","черный","Лада Приора","Центр","2",9,10,0,1,0
